Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Bottes de Nexus;8; 2237 ; 2227 ; 1
Bottes de Nexus;8; 2227 ; 2220 ; 1
Bottes de Nexus;8; 2220 ; 1410 ; 23
Bottes de Nexus;8; 1410 ; 1033 ; 23
Bottes de Nexus;8; 1033 ; 838 ; 20
Bottes de Nexus;8; 838 ; 716 ; 18
Bottes de Nexus;8; 634 ; 548 ; 22
Bottes de Nexus;8; 548 ; 485 ; 21
Bottes de Nexus;8; 485 ; 435 ; 21
Bottes de Nexus;8; 435 ; 398 ; 19
Bottes de Nexus;8; 398 ; 370 ; 17
Bottes de Nexus;8; 370 ; 356 ; 9
Bottes de Nexus;8; 356 ; 348 ; 6
Bottes de Nexus;8; 348 ; 339 ; 7
Bottes de Nexus;8; 339 ; 337 ; 1
Bottes de Nexus;8; 337 ; 325 ; 10

Ceinture de chance;1 ; 319 ; 316 ; 7
Ceinture de chance;1 ; 316 ; 312 ; 9
Ceinture de chance;1 ; 312 ; 309 ; 7

Ceinture d'endurance;27; 201 ; 197 ; 4
Ceinture d'endurance;27; 197 ; 194 ; 3
Ceinture d'endurance;27; 194 ; 191 ; 3
Ceinture d'endurance;27; 191 ; 188 ; 3
Ceinture d'endurance;27; 188 ; 186 ; 2
Ceinture d'endurance;27; 186 ; 184 ; 2
Ceinture d'endurance;27; 184 ; 182 ; 2
Ceinture d'endurance;27; 182 ; 181 ; 2
Ceinture d'endurance;27; 181 ; 179 ; 2
Ceinture d'endurance;27; 179 ; 177 ; 2
Ceinture d'endurance;27; 177 ; 175 ; 2
Ceinture d'endurance;27; 175 ; 173 ; 2
Ceinture d'endurance;27; 173 ; 172 ; 2
Ceinture d'endurance;27; 172 ; 171 ; 1
Ceinture d'endurance;27; 171 ; 170 ; 1
Ceinture d'endurance;27; 170 ; 169 ; 1
Ceinture d'endurance;27; 169 ; 168 ; 1
Ceinture d'endurance;27; 168 ; 168 ; 1
Ceinture d'endurance;27; 168 ; 167 ; 1
Ceinture d'endurance;27; 167 ; 166 ; 1
Ceinture d'endurance;27; 166 ; 165 ; 1
Ceinture d'endurance;27; 165 ; 164 ; 1
Ceinture d'endurance;27; 164 ; 164 ; 1
Ceinture d'endurance;27; 164 ; 163 ; 1
Ceinture d'endurance;27; 163 ; 162 ; 1
Ceinture d'endurance;27; 162 ; 161 ; 1
Ceinture d'endurance;27; 161 ; 161 ; 1
Ceinture d'endurance;27; 161 ; 160 ; 1
Ceinture d'endurance;27; 160 ; 159 ; 1
Ceinture d'endurance;27; 159 ; 158 ; 1
Ceinture d'endurance;27; 158 ; 158 ; 1
Ceinture d'endurance;27; 158 ; 157 ; 1
Ceinture d'endurance;27; 157 ; 156 ; 1
Ceinture d'endurance;27; 156 ; 155 ; 1
Ceinture d'endurance;27; 155 ; 155 ; 1
Ceinture d'endurance;27; 155 ; 154 ; 1
Ceinture d'endurance;27; 154 ; 153 ; 1
Ceinture d'endurance;27; 153 ; 153 ; 1
Ceinture d'endurance;27; 153 ; 152 ; 1
Ceinture d'endurance;27; 152 ; 151 ; 1
Ceinture d'endurance;27; 151 ; 151 ; 1
Ceinture d'endurance;27; 151 ; 150 ; 1
Ceinture d'endurance;27; 150 ; 149 ; 1
Ceinture d'endurance;27; 149 ; 149 ; 1
Ceinture d'endurance;27; 149 ; 148 ; 1
Ceinture d'endurance;27; 148 ; 147 ; 1
Ceinture d'endurance;27; 147 ; 147 ; 1
Ceinture d'endurance;27; 147 ; 146 ; 1
Ceinture d'endurance;27; 146 ; 146 ; 1
Ceinture d'endurance;27; 146 ; 145 ; 1
Ceinture d'endurance;27; 145 ; 144 ; 1
Ceinture d'endurance;27; 144 ; 144 ; 1
Ceinture d'endurance;27; 144 ; 143 ; 1
Ceinture d'endurance;27; 143 ; 143 ; 1
Ceinture d'endurance;27; 143 ; 142 ; 1
Ceinture d'endurance;27; 142 ; 141 ; 1
Ceinture d'endurance;27; 141 ; 141 ; 1
Ceinture d'endurance;27; 141 ; 140 ; 1
Ceinture d'endurance;27; 140 ; 139 ; 1
Ceinture d'endurance;27; 139 ; 139 ; 1
Ceinture d'endurance;27; 139 ; 138 ; 1
Ceinture d'endurance;27; 138 ; 137 ; 1
Ceinture d'endurance;27; 137 ; 137 ; 1
Ceinture d'endurance;27; 137 ; 136 ; 1
Ceinture d'endurance;27; 136 ; 136 ; 1
Ceinture d'endurance;27; 136 ; 135 ; 1
Ceinture d'endurance;27; 135 ; 134 ; 1
Ceinture d'endurance;27; 134 ; 134 ; 1
Ceinture d'endurance;27; 134 ; 133 ; 1
Ceinture d'endurance;27; 133 ; 133 ; 1
Ceinture d'endurance;27; 133 ; 132 ; 1
Ceinture d'endurance;27; 132 ; 132 ; 1
Ceinture d'endurance;27; 132 ; 131 ; 1
Ceinture d'endurance;27; 131 ; 130 ; 1
Ceinture d'endurance;27; 130 ; 130 ; 1
Ceinture d'endurance;27; 130 ; 129 ; 1
Ceinture d'endurance;27; 129 ; 129 ; 1

Ceinture du Directeur Grunob;36; 89 ; 88 ; 1
Ceinture du Directeur Grunob;36; 88 ; 88 ; 1
Ceinture du Directeur Grunob;36; 88 ; 88 ; 1
Ceinture du Directeur Grunob;36; 88 ; 87 ; 1
Ceinture du Directeur Grunob;36; 87 ; 87 ; 1
Ceinture du Directeur Grunob;36; 87 ; 87 ; 1
Ceinture du Directeur Grunob;36; 87 ; 86 ; 1
Ceinture du Directeur Grunob;36; 86 ; 86 ; 1
Ceinture du Directeur Grunob;36; 86 ; 86 ; 1
Ceinture du Directeur Grunob;36; 86 ; 85 ; 1
Ceinture du Directeur Grunob;36; 85 ; 85 ; 1
Ceinture du Directeur Grunob;36; 85 ; 85 ; 1
Ceinture du Directeur Grunob;36; 85 ; 85 ; 1
Ceinture du Directeur Grunob;36; 85 ; 84 ; 1
Ceinture du Directeur Grunob;36; 84 ; 84 ; 1
Ceinture du Directeur Grunob;36; 84 ; 84 ; 1
Ceinture du Directeur Grunob;36; 84 ; 84 ; 1
Ceinture du Directeur Grunob;36; 84 ; 84 ; 1
Ceinture du Directeur Grunob;36; 84 ; 83 ; 1
Ceinture du Directeur Grunob;36; 83 ; 83 ; 1
Ceinture du Directeur Grunob;36; 83 ; 83 ; 1
Ceinture du Directeur Grunob;36; 83 ; 83 ; 1
Ceinture du Directeur Grunob;36; 83 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 81 ; 1
